"comment","like_count","panjang"
"sedang ditimpa masalah yg cukup berat. butuh reminder untuk selalu husnudzon. sepertinya aku harus mengulang-ulang kajian ini :') mohon doa nya saudara-saudara ku sesama muslim agar masalah ku selesai dan bisa kembali bertumbuh melanjutkan kehidupan..","4,4 rb","251"
"sya mualaf dan dibuang dari keluarga..bahkan harta warisan pun tak dpt..syaa sama isti sya dan anak saya hidup dengan penuh beban berat.. panjang cerita yg ku alami. ..andaikan ustadz adi hidayat bisa buat aku curhat. mungkin bisa membuat hati ini dan pikiran tenang .sebab semua beban yg kualami akan selesai kalo syaa balek keagamaan lama saya.. bahkan saya dikasih rumah. kebutuhan. dicukupi. dikasih kebun jg. saya menolak itu. karena syaa mempertahankan islam dan saya memperoleh kebenaran sejati","695","501"
"saya sedang mengalami ujian dari allah yg cukup berat, do'akan saya agar bisa ikhlas,sabar dan mudah"" allah memberikan keindahan pada waktunya..","1,1 rb","144"
"dengan mengalami kesulitan, lebih mudah pula bangun sepertiga malam, mudah shalat dg tenang, mudah menjalankan ibadah tepat waktu, mudah menjalankan shalat sunnah padahal biasanya klo sempat saja, rasanya sekarang dimudahkan dalam hal ibadah, lebih tenang dalam berfikir, lebih sabar menghadapi apapun yg biasanya dikit2 emosi, masya allah dengan segala kelembutannya,,,","38","370"
"saya sedang berada di fase tersulit. saya merasa urusan orang lain selalu di permudah sedangkan saya selalu di persulit. ya allah jika mmg ujian ini karena dosa ku maka ampunilah ya allah","343","187"
"adab saat memiliki kesulitan seberat apapun itu: 1. dekati allah. yakini bhw allah tidak akan meninggalkan kita 2. hadapi/terima dg proporsional aja. berprasangka baik kpd allah. seberat apapun ujian itu, kelak akan selesai juga dan akan kita tinggalkan juga.. dan yang abadi hanya akhirat hari 3. cepat move on. akan mempercepat datangnya ridho allah, tanda: ketenangan dlm jiwa, akan dibimbing solusinya 4. jangan lupa bhw masalah sebelumnya sudah selesai dg ijin allah. sehingga punya harapan yg lebih tinggi dan optimis 5. jika bisa menerima dan ridho atas ujian, akan diangkat derajatnya","642","592"
"rupanya bukan aku aja yg di uji seberat ini..... kuatkan org2 yg dapat ujian ini ya allah.....","41","94"
"ustad tolong doakan saya agar lewat tes toafl di kampus saya dengan nilai 400 ke atas, agar saya bisa segera sidang skripsi dalam bulan ini, sudah dua kali saya mengikuti tes dan belum berhasil, besok adalah yang ketiga kali, saya tau allah tidak akan meninggalkan saya, saya tau allah akan membantu dan menyelesaikan masalah saya, tapi ada ketakutan dalam diri saya, semoga ketakutan ini berubah menjadi pendekatan dan ikhtiar saya kepada ya rabb, amin ya rabbal alamin","126","470"
"minta doa y ya saudara2 muslim ku , supaya allah memudahkn ank ku dlm mencari pekerjaan","33","87"
"1. kalau sedang diuji, bererti ada harapan dan doa yg kita pernah mohonkan dan allah ingin makbulkan, jalannya adalah ujian. 2. tapi adilnya allah, tidak pernah kita diuji melebihi luar kemampuan kita.","97","201"
"""allah mengabulkan apa yg kita butuhkan bukan apa yg kita inginkan"" subhanallah..","580","81"
"surah al insyirah dan surah adh dhuha, punya memori penting dalam hidup saya.. saat saya baru cerai dengan suami yang berkhianat, anak saya yang masih balita masuk rs karena dbd ditengah malam, saya menjaganya sendiri dalam kondisi uang tak ada.. semalaman saya tidak tidur karena kondisi rs yang rame dan anak belum juga tenang.. dalam keadaan itu, saya membuka aplikasi al qur'an dalam hp, dan membaca surah al qur'an secara acak.. lalu sampailah saya pada surah adh dhuha dan surah al insyirah.. saya merasa allah berbicara kepada saya, menguatkan saya, menemani saya dan melindungi saya dan anak saya.. akhirnya saya bisa melewati malam itu dengan tenang dan penuh keyakinan.. alhamdulillah.. sudah 6tahun kejadian iti terlewati, dan saat ini pun, saya masih menangis saat mengingatnya.. semoga saya terus istiqomah, aamiin..","1,4 rb","829"
"dulu pernah berfikir bahwa kekayaan adalah impian tertinggi .. tapi makin kesini saya baru faham .. ternyata ketenangan hidup tanpa hutang adalah keberkahan yg luar biasa yg sangat ingin saya dan keluarga dapatkan saat ini .. mohon doa nya ikhwan dan akhwat agar kami sekeluarga bisa bahagia walau hidup sederhana mungkin ini sebagai pengingat jika suatu saat saya berlimpah harta agar dapat membantu kesulitan saudara2 saya seiman","46","431"
"memohon lunas hutang, tapi allah kabulkan anak masuk ptn. inilah wujud pengabulan doa sesuai kebutuhan, bukan keinginan","34","119"
"aku lgi sedih hmil 8 bulan lgi di uji ekonomi sulit semoga suami ku allah kasih lancar rezeki nya biar bisa beli kebutuhan bayi sebelum lahiran dan ada uang buat biaya persalinan.teman2 bntu doa in aku ya","378","204"
"jalan satu-satunya menjaga mental adalah tawakal kepada allah","48","61"
"yaa allah, hamba yakin seseorang yang dijauhkan dari hamba itulah takdir terbaik dari mu.. masyaallah tabarakallah..","0","116"
"aamiin yra..smg dberi jln klwr terbaik di sisi allah swt aamiin yra","19","67"
"anda mampu,makanya allah mencoba, allah saja percaya pada anda, kenapa anda tidak percaya pada diri sendiri??","11","109"
"aamiin ya allah, sedang berada dititik terndha dlam hidup saat ini","7","66"
"@rahmimelfa5906 semangat ukhti.....semoga allah memberi satu persoalan dan menggantinya dengan seribu kebahagiaan....amin","3","121"
"@rahmimelfa5906allah sangat sayang pd semua hambanya....maka kita diberi ujian untuk dinaikkan derajatnya/kelasnya","1","114"
"@sobatgabut6981subhanallah wal hamdulillah wa laillaha illa allah allah akbar laahaula wa laquwata illabillahil aliyyil adziim..","0","128"
"aamiin ya allah semoga di berikan kemudahan kekuatan dan ketabahan dalam menyelesaikan masalah","7","94"
"amiinn di balik ujian ada allah yg maha besar bersama kita","35","58"
"smoga allah swt memberikan jalan keluar dr segala kesulitan yg dihadapi... aamiin","4","81"
"allaaaaahu akbaar.. jazakallaahulkhairan katziraan ustadz ... masyaa allah","25","74"
"aaminn semoga dimudahkan, dilapangkan hatinya, yakin allah subhanahu wata'ala sudah menyiapkan yg terbaik..","24","107"
"aamiin..smg cobaan dn ujian yg sdg anda hadapi segera dpt solusi yg cpt dr allah swt","2","84"
"aamiin, allah sedang menyiapkan hadiah utk bunda, smg diberikan kemudahan untuk menjemputnya!","1","93"
"sama tapi prasangka baik aja mungkin allah mau meninggikan derajat kita","1","71"
"aamiin..aamiin ya allah..ku juga rasa nya sdh sesak dada ini menghadapi cobaan..tp aku berusaha yakin, allah maha penolong..","1","124"
"ustadz adi selalu bilang,, saat masalah itu datang halaman pertama yg harus kita lakukan ""terima masalah itu dengan sabar"" emank sih asli nya ndak semudah mengucapkan,,tapi pas kita kerjain emank terasa jauh lebih ringan... 3 surah itu emank sangat menguatkan,, hehehehe,, semangat kk,, dunia ini kan emank tempatnya ujian","1","322"
"sama, bener lagi butuh nasehat ustadz utk ttp optimis menjalani hidup, barakallah fiikum jazakumullah khoir uah dan tim semoga allah subhanahuwata'ala selalu membimbing dan memberikan karunia-nya kpd kita. aamiin","1","212"
"saudaraqu ingat allah kuasa mahkluk tak kuasa..ihtiar dan dekatiil saja allah serahkan padanya inshaa'allah ada jalan dati allah inshaa'allah","1","141"
"sama..udah 1minggu pikiran ga tenang,gelisah, pikiran ga karuan memikirkan banyak hal yg belum tentu terjadi. jadi berpikir negatif. pas buka kajian ini, alhamdulillah jadi lebih semangat melanjutkan kehidupan. saya yakin semua kegelisahan saya itu utk mendekatkan diri saya sama allah.","1","286"
"semangatt ukhti, hidup adalah perjuangan dan allah adalah penolong kita insyaallah, allah akan selalu memberikan yang terbaik buat hambanya . kita saling do'akan y .","1","165"
"semoga allah memberikan jalan keluar terbaik dari segala masalah yang sedang dihadapi.. amiin allahuma amiin","1","108"
"betuuul sekalii, dulu bgt kl dlm perjalanan suka pake earphone denger lagu. skrg di era yutub, tgl download ceramah2 inspiratif/motivasi dan tgl puter ulang kl pas di jalan. lmyn isi waktu dgn ilmu :)","1","200"
"bisa jadi masalah yang dihadapi itu ujian dari allah hadapilah dengan ikhlas sabar innsyaa allah semua itu bisa dilalui dengan baik","1","131"
"semangat mbak..saya seorg ibuk..jg sdng menghadapi ujian brt....percayalah sesudah kesulitan itu allah datangkan pertolongan...dan pertolongan allah itu nyata..tetaplh berharap pdnya...","1","185"
"semoga allah swt lapangkan hati mba linda, agar di mudahkan dalam mengatasi masalah, ketetangan dan kebahagian buat mba linda. insy allah, semangat mba","1","151"
"allah maha pengasih, penyayang, maha pengampun. in sya allah dimudahkan sgala urusannya.","1","88"
"semoga allah mudahkan urusan kita semua,terbaik menurut allah..aamiin","1","69"
"allahumma aamiin. buat kita semua sesama muslim juga","1","52"
"fainnamaal usri usra inna maal usri usra,itu janji allah,berbaik sangka pada rab kita,biiznillah kita pasti bisa melewati semua masalah itu, alhamdulillah.","1","155"
"insya allah segala permasalahanmu selesai aaaminnn ya robbal alaminnnn","18","70"
"sama mbak saling mendoakan. peluk online buat mbak2 yg lagi ada masalah. apapun itu allah sayang sama kita..","15","108"
"aamiin..ya rabb..lapangkan segala urusannya...berikan jln klr ya allah...","0","73"
"banyakin baca tasbih..insyaallah diberi kekuatan dlm hidup ini","0","62"
"dengarkan tausiah ini sebagai motivasi dn pengetahuan,yg inti nya hrs lbh dkt dgn allah serahkan semua mslh nya kpd allah stlh itu minta kn yg baik buat kita...smg allah menguatkn dlm ujian yg mba alami,dn lulus dlm ujian lalu bahagia dunia dn akherat..aamiin ya rabb","0","267"
"aamiin.....semoga allah mudahkan urusan kita semuanya aamiin yaa robbal'alamin","0","78"
"kalau saya semenjak rajin ikut kajian beliau alham dulilah tidak pernah terbeban dg masalah hidup ini apapun itu sarat nya amalkan semoga saudara2 disana merasakan juga amin.","0","174"
"tetap istiqomah dan sabar, ikhlaskan... semoga allah melindungi dr setiap langkahnya","0","84"
"ya allah mdahkanlah urusan saudaraku dan gantilah dg yg lebih baik. aamiin","0","74"
"insya allah di beri jalan terbaik sesuai dengan ikhtiar atas apa yg allah titipkan.","0","83"
"semoga allah permudah menuju ketenangan hati.. aamiin..","0","55"
"semoga dipertemukan dengan jalan keluar dan kebahagiaan bu. aamiin. saya juga sedang bertemu masalah yang sangat sulit dan pelik. cuma shalat, baca quran, dan lihat kajian yang bisa membuat saya tetap waras.","0","207"
"sama neng winda ,saya juga hidup baru ada ujian, semoga setelah mengikuti menyimak kajian ustadz adi ,k depannya lebih baik amin ya rabbal alamin,","0","146"
"allah tak akan menguji hambanya melebihi kemampuan hambanya. insya allah apapun masalah yg kita hadapi itu adalah ujian darinya. akan berganti dgn kelapangan dan kebahagiaan. sama yg saya hadapi sekarang, hanya harapan dan sangka baik dgn allah, itulah yg membuat saya dapat bertahan dan tersenyum. semoga apapun masalah yg kita hadapi cepat berlalu, berganti dgn kebahagiaan insyaallah aaamiiin","0","395"
"subhannallah.. ya rahma ya rahim.. aku yakin allah akan menyelesaikan semua masalah kita, berserah diri dan mensyukuri atas nikmatnya.. terimakasih pak ustaz sejuk di hati, memoertebsl iman.. aamiin yra","0","202"
"moga allah senantiasa beri jalan kemudahan ya sobat""q","0","53"
"semoga allah selalu meridhoi apapun yg anda alami sbg ujian tanda allah swt sayang pada hambanya...tetep semangat dan prasangka baik sama allah swt.","0","148"
"alhamdulillah, syukran ustaz atas ilmu semoga allah rahmati kehidupan pejuang agama allah","0","89"
"semoga selalu dlm lindungan allah dan urusan nya di beri solusi yg terbaik..aamiin yaa rabbalalamiin","0","100"
